Date	Present	Shelf	Dupe
 September 1952	x	1
 June 1977	x	1
 July 1977	x	1
 August 1977	x	1
 September 1977	x	1
 October 1977	x	1
 November 1977	x	1
 December 1977	x	1
 January 1978	x	1
 February 1978	x	1
 March 1978	x	1
 April 1978	x	1
 May 1978	x	1
 June 1978	x	1
 July 1978	x	1
 August 1978	x	1
 September 1978	x	1
 October 1978	x	1
 November 1978	x	1
 December 1978	x	5
 January 1979	x	1
 February 1979	x	1
 March 1979	x	1
 April 1979	x	1
 May 1979	x	1
 June 1979	x	1
 July 1979	x	1
 August 1979	x	1
 September 1979	x	1
 October 1979	x	1
 November 1979	x	1
 December 1979	x	1
 January 1980	x	1
 February 1980	x	1
 March 1980	x	1
 April 1980	x	1
 May 1980	x	1
 June 1980	x	1
 July 1980	x	1
 August 1980	x	1
 September 1980	x	1
 October 1980
 November 1980	x	1
 December 1980	x	1
 January 1981	x	1
 February 1981	x	1
 March 1981	x	1
 April 1981	x	1
 May 1981	x	1
 June 1981	x	1
 July 1981	x	6
 August 1981	x	1
 September 1981
 October 1981	x
 November 1981	x
 December 1981	x
 January 1982	x
 February 1982	x
 March 1982	x
 April 1982	x
 May 1982	x
 June 1982	x
 July 1982	x		D
 August 1982	x
 September 1982	x
 October 1982	x
 November 1982	x
 December 1982	x
 January 1983	x
 February 1983	x
 March 1983	x
 April 1983	x
 May 1983	x
 June 1983	x
 July 1983	x
 August 1983	x
 September 1983	x
 October 1983	x
 November 1983	x
 December 1983	x	7
 January 1984	x
 February 1984	x
 March 1984	x
 April 1984	x
 May 1984	x
 June 1984
 July 1984	x
 August 1984	x
 September 1984	x
 October 1984	x
 November 1984	x
 December 1984	x
 January 1985
 February 1985
 March 1985	x
 April 1985	x
 May 1985
 June 1985	x
 July 1985	x
 August 1985	x
 September 1985	x
 October 1985	x
 November 1985	x
 December 1985	x
 January 1986	x
 February 1986	x
 March 1986	x
 April 1986	x
 May 1986	x
 June 1986
 July 1986
 August 1986	x
 September 1986	x	8
 October 1986	x
 November 1986	x
 December 1986	x
 January 1987
 February 1987	x
 March 1987	x
 April 1987	x
 May 1987	x
 June 1987	x
 July 1987
 August 1987	x
 September 1987	x		D
 October 1987
 November 1987
 December 1987	x
 January 1988
 February 1988
 March 1988	x
 April 1988	x
 May 1988	x
 June 1988	x
 July 1988	x
 August 1988	x
 September 1988	x
 October 1988	x
 November 1988	x
 December 1988	x
 January 1989
 February 1989	x
 March 1989	x
 April 1989	x
 May 1989	x	9
 June 1989
 July 1989	x
 August 1989	x
 September 1989	x
 October 1989	x		D
 November 1989	x
 December 1989	x
 January 1990	x
 February 1990	x
 March 1990	x
 April 1990	x
 May 1990	x
 June 1990	x
 July 1990	x
 August 1990	x
 September 1990	x
